,video_id,channel_id
1,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
2,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
3,LTDy5e1W_GU,No Data
4,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
5,jfeKoBCmBRc,No Data
6,kpeCmYPB9e8,No Data
7,j4Y_pS5ha3A,No Data
8,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
9,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
10,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
11,0ovTFlKXcy0,No Data
12,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
13,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
14,U7pzUOdzYYk,No Data
15,Fmx-IEa83JU,No Data
16,U9Tkv9FjyNw,No Data
17,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
18,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
19,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
20,wbSwFU6tY1c,UCtI0Hodo5o5dUb67FeUjDeA
21,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
22,k8Bt_phVS5Y,No Data
23,oXd60ArCFrE,UCynIYcsBwTrwBIecconPN2A
24,4WFStwCSdqM,UCDE_gujqIP9wEBZy0lVH_8Q
25,Iaafx-x9T6E,No Data
26,H9KIeijkNTc,UC5Tk1JEutSTmswO7dm6_jNg
27,h5isK6A2giQ,No Data
28,KqtWo-4A0LU,No Data
29,J156zfTzMTM,No Data
0,4lISApbG9Ek,UCK7olrAXy2LFsBtVx9g9xjA
1,y4Id2KGDbb8,UCQ5URCSs1f5Cz9rh-cDGxNQ
2,AlI4Q_Pe3BI,No Data
3,palw25wDVnA,UCynURu72A71GmEVQcsZXcKQ
4,_vXYt1zQLqA,No Data
5,9vfxkTTSKJ4,UCNcQkRqY3_Ozcnlo6STqlAQ
6,V1YAomM4_G4,UCltkdBboJUT4cX1LFIp7-_Q
7,9H3LBeqxT8c,No Data
8,dol3ryJcsio,No Data
9,VAL1khzhGQw,UCoh_z6QB0AGB1oxWufvbDUg
10,D3UgKhoZbSI,UCfodSug0zXKfd8HpSay9JBg
11,8TGSLIjeKnw,No Data
12,5ugKfHgsmYw,UCNLxBzguoGLqXWA8_BtHSHA
13,HaZzVUBlEGE,UCRVruzlQF5cqpw9jQgIgNdw
14,J_loNEewV8s,No Data
15,QghTQMLZvTo,UCGCZAYq5Xxojl_tSXcVJhiQ
16,RdveHyJ7kjk,UCucL8Ib4JOigpW0pgjI46xA
17,LTDy5e1W_GU,No Data
18,Wb2TT6X0CKc,UC-uIxqs8YBuqzgUSnL0TzYw
19,jfeKoBCmBRc,No Data
20,kpeCmYPB9e8,No Data
21,j4Y_pS5ha3A,No Data
22,MnQYdnYWCPQ,UC0e87WXu_SJhrc8tb08qyaQ
23,J5T6Y4YDkGg,UCgQqn8qDKhFz7QGLg_vFDvQ
24,DHEgmES0HfU,UCv2ejD5B1xOYtGB2cf80B8g
25,0ovTFlKXcy0,No Data
26,7UQSgAjKYdk,UCLYlpN8yN536YoJd6FtiKwg
27,3Xn7nGqiJCU,UCMtFAi84ehTSYSE9XoHefig
28,U7pzUOdzYYk,No Data
29,Fmx-IEa83JU,No Data
0,U9Tkv9FjyNw,No Data
1,NwkoKEOUYaA,UCPs6BouVj4Gl96zGwwzSWJg
2,T17xaPhX5dU,UCQugJQxWxs2cM8w_IPuMaXw
3,2X6O10gGfzQ,UCCD76tKlE45u1YTX0cVh1OQ
4,A04PARdtEss,UCad4VUyyzWqenlkjfCTQ47A
5,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
6,ij13ux8rK9k,No Data
7,6niuasak0AY,No Data
8,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
9,VV7LMEbd1Es,UC14QT5j2nQI8lKBCGtrrBQA
10,EBK5N6al6bo,No Data
11,LTJKYH3OG70,No Data
12,sC32d0BmcJk,UCrR3bHE6ZJ30YUUTl-G2RVg
13,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
14,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
15,UaGK8MCVZyE,UCMo5MECD5pwhUVLaMqZo5Xg
16,OaTGK4rZr1g,No Data
17,ishsnPy0XOU,UCIfuY0NRq1szr_6tzFy23NQ
18,z0RPAaITyyg,UCSkLRGGIGKOtinamhcy_42g
19,B80CK49etK0,No Data
20,Hv18-l6kESg,UCljYHFazflmGaDr5Lo90KmA
21,YkGeOCP0JgU,UCG4fqU419F_vnBkIfSyR9Yg
22,D3xQ_NS0Hro,No Data
23,XJFu0oJwdpw,No Data
24,rskvlVMoYZE,UCqly9F4Fr_jf2Y1Cy5hacRg
25,T6LPSNcsEw4,No Data
26,oWxN_S8ANGY,No Data
27,wIdrjXroKC0,UC4QadOSsJu54Qs8z99shRiQ
28,gUukLb9ViRQ,No Data
29,6qT5wAc3fEY,UC499RUHBCxesTo_ppKPlfhg
0,_TM_GRv-0FY,No Data
1,_tjVER3BDW8,UCQBG3PzyQKY8ieMG2gDAyOQ
2,_j2MiTRDkuY,UCWbB8rGkcOc58YYS0QaCG3w
3,3p7W5r4t3As,UCR1zT1s524Hbc85bdvno_8w
4,rmON2pSUdqM,UCQ3Kgx1G1NkELoJ8tJ3uelg
5,_-gu6jeUTYk,No Data
6,HHaPe2vOFpM,No Data
7,eMONEl5YQxQ,UCyo6aLuDHbUoNTv-NR-Y0NA
8,V-Ocqn6itNQ,No Data
9,RbXbsr256j0,No Data
10,vUBq5g0wpss,No Data
11,04YcnWKdOb0,UC0e87WXu_SJhrc8tb08qyaQ
12,x2Sp2ARYcSY,UC_giNzXnIMihPb8ERG_4kSw
13,pFQvMoJRo2U,No Data
14,5Jkij23bedk,No Data
15,YIjcz8xlYjg,UCzw-C7fNfs018R1FzIKnlaA
16,dzxFdtWmjto,UCz97F7dMxBNOfGYu3rx8aCw
17,0gIU760wZ7I,No Data
18,LyhoUNm3xwo,UCcvLSRIWJIAGFDyWtzkbiHA
19,DL-KkzTShAc,No Data
20,_MfVpGaUhYQ,UCGbOTPDlBwkN-4N85dK6U7Q
21,WRTJ-1CNrt4,UCFtVzEblikHdro4J5HeMo4w
22,TdWHNVpSTlI,No Data
