,channel_id,subscriber_count
11,UC6SmH9mR82nj28_NNg_rZvA,681000
12,UCXBgKqFxSjKADEuMLkc1Bpg,412000
13,UCVdQRexx_XYLRGk1ouo4iSA,52900
14,UC8k5Hd0UtZLrUvZHhsHfgzA,84200
15,UC3wEaRK3h93UehXbg9YRcmQ,104000
16,UCsX8MJHEI5UukXoF3HLnTvg,496000
17,UCvc33FeURfaIN5M8x9wGVjQ,266000
18,UCXzU-b8I0Y_fhMkLQMYt3vA,1350000
19,UCMo5MECD5pwhUVLaMqZo5Xg,1080000
20,UCWKc_h8m97tvrjZ9rfgdhIA,167000
21,UCNt2ZN3usTdTdRV9HJvYAsQ,34300
22,UCMjPaH_cobWKILEnIa-RIMg,45600
23,UCd9BXPj-KcMTh0HiB-Vlb8A,1040000
24,UCs4KWxdP-lRc-dgLXE5i8Wg,2430000
25,UCLhgIX2L5ZCaWdlaxR_oTAg,465000
26,UC0FFHRF1mytLDhs6nxqGIQg,209000
27,UCQ3Kgx1G1NkELoJ8tJ3uelg,581000
28,UCcxInxoZ8Rar3gKYWICbBZg,37100
29,UC2TCPeRl66OCXYXLIsQpd-A,104000
0,UCHzevlEL9JfsBIm86uNCJqg,130000
1,UCrPG99iyp64FDF8MrB9uVPA,339
2,UCfCOQPrgiA9YydjXQ6g87fg,167000
3,UC9hjXy61UPW7iLfWswKzhww,1590000
4,UCPSlLJBY8_4OPIt6aqmQpdA,126000
5,UC4QadOSsJu54Qs8z99shRiQ,1480000
6,UCTv-XvfzLX3i4IGWAm4sbmA,5620000
7,UCu0ePEW18Q8DUkdJzuXywYw,68300
8,UCMsuwHzQPFMDtHaoR7_HDxg,1240000
9,UCIS8BB4C2cuzeILjQV9pxGA,85300
10,UCCD76tKlE45u1YTX0cVh1OQ,201000
11,UCzXjPL7zo0bxhOYDxLJ9YEg,2840000
12,UCPIRD4yr1hlAEovBCSNlAKg,1560000
13,UCsTM1roCxoot1-03EO5zQxg,624000
14,UCroloVlHKUnvOMn5MtuvyDg,422000
15,UCLdnL7RNgh616cUbJJUGPRg,286000
16,UCkkxn2ldlFUMupTlXU8meAw,952000
17,UCKtKKtjaaPKA1Oj8Ldnfsdg,478000
18,UCt-1ijH9G4J6Uy6KzDMHwCw,389000
19,UC7_mFzmj89tqAqgpl5695QQ,239000
20,UCSoEDFXaMcHbAlWlduce2eg,519000
21,UCsSuev_h2XixlD6FFGADI6w,448000
22,UCUtLYlzPOIDkHoVGANN4axw,147000
23,UCNqmECMUi1zWc64qSU8c05w,20400
24,UCnEt_KImHuLS-U8jXm5X0RA,709000
25,UCqRBWtTdNgdy242-CE4fvTA,179000
26,UCYs35nWy7aTUBA4w8LcSCjQ,164000
27,UCjpPqow_Rlv0A9RePeJ6nAA,254000
28,UCfodSug0zXKfd8HpSay9JBg,374000
29,UCXcjvt8cOfwtcqaMeE7-hqA,824000
0,UCgMPP6RRjktV7krOfyUewqw,8710000
1,UCpsfNxZvl63m2TCAPmZTd4g,10300
2,UCSYCOHHulAU-vAKeeaR65Wg,301000
3,UCx3LKgU243gC-kKhhFD4NWQ,40400
4,UCutJqz56653xV2wwSvut_hQ,5390000
5,UC4B3koT1xEv0hkQsUSlECHA,232000
6,UC4hQbfN_ZRy4lSngWxuhHxA,384000
7,UCljUAjufNh7VI0yElcAdlhg,340000
8,UCpxsIJMZo-plwhZsKXs3CLQ,13400
9,UCJZE3JknxQq5Qrycx1uz2Sg,22400
10,UCcFqQcSh5U4lkAU2QXHL6-g,163000
11,UCNcQkRqY3_Ozcnlo6STqlAQ,105000
12,UC707xK9t2yW35T1aAHPzFQg,760000
13,UCWsJsG1wJyO2BydSGqfAmRA,29000
14,UC1VAL4j9yiPQVKMtIS1yUOA,522000
15,UC6QGc5RYx85wrttJ4hfA9rA,2790
16,UC6SmH9mR82nj28_NNg_rZvA,681000
17,UCXBgKqFxSjKADEuMLkc1Bpg,412000
18,UCVdQRexx_XYLRGk1ouo4iSA,52900
19,UC8k5Hd0UtZLrUvZHhsHfgzA,84200
20,UC3wEaRK3h93UehXbg9YRcmQ,104000
21,UCsX8MJHEI5UukXoF3HLnTvg,496000
22,UCvc33FeURfaIN5M8x9wGVjQ,266000
23,UCXzU-b8I0Y_fhMkLQMYt3vA,1350000
24,UCMo5MECD5pwhUVLaMqZo5Xg,1080000
25,UCWKc_h8m97tvrjZ9rfgdhIA,167000
26,UCNt2ZN3usTdTdRV9HJvYAsQ,34300
27,UCMjPaH_cobWKILEnIa-RIMg,45600
28,UCd9BXPj-KcMTh0HiB-Vlb8A,1040000
29,UCs4KWxdP-lRc-dgLXE5i8Wg,2430000
0,UCLhgIX2L5ZCaWdlaxR_oTAg,465000
1,UC0FFHRF1mytLDhs6nxqGIQg,209000
2,UCQ3Kgx1G1NkELoJ8tJ3uelg,581000
3,UCcxInxoZ8Rar3gKYWICbBZg,37100
4,UC2TCPeRl66OCXYXLIsQpd-A,104000
5,UCHzevlEL9JfsBIm86uNCJqg,130000
6,UCrPG99iyp64FDF8MrB9uVPA,339
7,UCfCOQPrgiA9YydjXQ6g87fg,167000
8,UC9hjXy61UPW7iLfWswKzhww,1590000
9,UCPSlLJBY8_4OPIt6aqmQpdA,126000
10,UC4QadOSsJu54Qs8z99shRiQ,1480000
11,UCpHIBpOqu0ablP2HOR985Rg,751
12,UC3wEaRK3h93UehXbg9YRcmQ,104000
13,UCibEhpu5HP45-w7Bq1ZIulw,6280000
14,UC0e87WXu_SJhrc8tb08qyaQ,122000
15,UCRcqkIwvavvCDUu2yMvl34w,1360
16,UCaak9sggUeIBPOd8iK_BXcQ,3520000
17,UC2KxdiFxT-5ymlYbzWKIf9A,207000
18,UCRT-74ovdMKOFBC96w_gfyQ,402000
19,UCXua9WNskyonbW19gjRBHfg,16300
20,UCAE3Nq-r0b_580iOxBnE5Sw,0
21,UCoh_z6QB0AGB1oxWufvbDUg,2050000
22,UC6SmH9mR82nj28_NNg_rZvA,681000
23,UC2v_FEM2obGMne07CgXU8hw,63600
24,UCkH3CcMfqww9RsZvPRPkAJA,1480000
25,UC8k5Hd0UtZLrUvZHhsHfgzA,84200
26,UCNqmECMUi1zWc64qSU8c05w,20400
27,UCgJT29ypj-ZGNX5y8GHapKA,662000
28,UCQUdNis13Y2bXiV7fssSNCg,685000
29,UCroloVlHKUnvOMn5MtuvyDg,422000
0,UCwTDfpw2NE41h02-lWBJpFg,154000
1,UCMjPaH_cobWKILEnIa-RIMg,45600
2,UCTUHN-d0rujv4DZI-sEY53A,0
3,UCSoEDFXaMcHbAlWlduce2eg,519000
4,UCP1PN9Um8z8Li-20Yauqa6A,1050000
5,UC-km1012mEUQQLGxggmrazw,739000
6,UC6YuttrRJ_LZNddA_DJ_VSQ,2000000
7,UCXBgKqFxSjKADEuMLkc1Bpg,412000
8,UCucL8Ib4JOigpW0pgjI46xA,1380000
9,UC9S3u0sQzLKE-7eu_SHi-wg,134000
10,UCljUAjufNh7VI0yElcAdlhg,340000
11,UCkkxn2ldlFUMupTlXU8meAw,952000
12,UCkhvff686tv-QIK3koac5lQ,27700
13,UCwFPk397w7Dg5gi6vd-1Xcw,207000
14,UCBBM6I8aFFYHQ011WUsgoWw,13600
15,UCTHCOPwqNfZ0uiKOvFyhGwg,499000
16,UCMKvT0YVLufHMdGLH89J1oA,298000
17,UCosdY-UuH21-lOwfXwYjiBw,12500
18,UCVP_Fma2_-BEKWYc79JVQDw,805000
19,UClS-7TfM2g2plTGguaBPfqg,7820
20,UCs4ms7uVxO8wVvQoEocz8jw,309000
21,UChlgI3UHCOnwUGzWzbJ3H5w,1800000
22,UC1Lp8HbCqOPBMT1W_mjb21A,581000
23,UCCRb6nYKaT8tzLA8CwDdUtw,2780000
24,UCTQVIXvcHrR9jYoJ6qaBAow,5860000
25,UCKtKKtjaaPKA1Oj8Ldnfsdg,478000
26,UCyjqvcOieGYO7wot-RUgsPg,45100
27,UCPfja6yTg5pwDjQuVPHsQWw,23700
28,UCPs6BouVj4Gl96zGwwzSWJg,37000
29,UCjB2xW4I9pqsP_lWonMJJPA,0
0,UCvc33FeURfaIN5M8x9wGVjQ,266000
1,UCPNpIv6idBglQyQWDKuEYcg,24600
2,UCZoaq0ZN9OdFo15DmoPCWig,49300
3,UCWU3QKablvVEK6JcEyEC58w,513000
4,UCFWOTgjYbVwV5ZYd-WRtpLA,323000
5,UCUzMcAXn1QXeehPWMU57ygg,56200
6,UCtmXnwe5EYXUc52pq-S2RAg,443000
7,UCNew84XbL3knLtwbFh8fhLQ,64900
8,UC4QadOSsJu54Qs8z99shRiQ,1480000
9,UCP1PN9Um8z8Li-20Yauqa6A,1050000
10,UCpHIBpOqu0ablP2HOR985Rg,751
11,UC3wEaRK3h93UehXbg9YRcmQ,104000
12,UC4YaOt1yT-ZeyB0OmxHgolA,2750000
13,UCad4VUyyzWqenlkjfCTQ47A,162000
14,UCroloVlHKUnvOMn5MtuvyDg,422000
15,UCXua9WNskyonbW19gjRBHfg,16300
16,UC0e87WXu_SJhrc8tb08qyaQ,122000
17,UC2KxdiFxT-5ymlYbzWKIf9A,207000
18,UCMjPaH_cobWKILEnIa-RIMg,45600
19,UCRgOqI54g1VqnQnwIB6WPSA,201000
20,UCLdnL7RNgh616cUbJJUGPRg,286000
21,UConaGRzpWrIGU6ALkUASyYg,104000
22,UCaak9sggUeIBPOd8iK_BXcQ,3520000
23,UClX3YSREJp3ELuv2wFAYOzA,1280000
24,UCibEhpu5HP45-w7Bq1ZIulw,6280000
25,UCq44eNlrF-7VsVQ6i5on-pA,308000
26,UCT2ufNhLUwPZGhNvO_B2vnA,39300
27,UCKtKKtjaaPKA1Oj8Ldnfsdg,478000
28,UCFTVNLC7ysej-sD5lkLqNGA,5470000
29,UCfkM3u-0uSKADDitZLpXcfA,551000
0,UCUz13KPT3QQ7qag7rImH6kA,64800
1,UCosdY-UuH21-lOwfXwYjiBw,12500
2,UCOn5jBE3jARWrcKoAKbqLow,65900
3,UCGdZ_-svzY_hPLYVSKvMFvw,434000
4,UCljUAjufNh7VI0yElcAdlhg,340000
5,UC1Lp8HbCqOPBMT1W_mjb21A,581000
6,UCoh_z6QB0AGB1oxWufvbDUg,2050000
7,UCEf_Bc-KVd7onSeifS3py9g,22900000
8,UCULo-2LbjVtVsdSsVTYVFmQ,52100
9,UCZJLOAUdvQHrIXQs3Hq17Hw,0
10,UCQatgKoA7lylp_UzvsLCgcw,3690000
11,UCeEw2Utee_-P8-KZYTzuUsw,388000
