,video_id,channel_id
345,YIjcz8xlYjg,UCzw-C7fNfs018R1FzIKnlaA
346,dzxFdtWmjto,UCz97F7dMxBNOfGYu3rx8aCw
348,LyhoUNm3xwo,UCcvLSRIWJIAGFDyWtzkbiHA
350,_MfVpGaUhYQ,UCGbOTPDlBwkN-4N85dK6U7Q
351,WRTJ-1CNrt4,UCFtVzEblikHdro4J5HeMo4w
353,cnril81nZbQ,UCZm4hXoFy5ynSaGXVfP-NGQ
354,91ZunNmQpAw,UCx3LKgU243gC-kKhhFD4NWQ
356,9U-CRsPd4ME,UC27RIvOR7ev2zl6ZkkxOjHg
357,bw-5XM5iOdY,UCWxCyZibDIWIrGIgP25mbfw
358,Zcz-B4O1VRs,UCkkxn2ldlFUMupTlXU8meAw
360,4uTNVumfm84,UCN1hnUccO4FD5WfM7ithXaw
365,TwoaYQFdvWY,UC5PBnSG7C0WXp5gjd4bzKtw
367,aKloNmy1oNo,UCSoEDFXaMcHbAlWlduce2eg
368,2d0E2WcixgI,UCvtbgZXQEGo1pxa-PkMP98A
371,hyglh5FHuPg,UCGL2699xGK-6p0AAnTVS5-g
373,l6wi_c5WOCc,UCbD8EppRX3ZwJSou-TVo90A
375,AiwztlqOJz0,UCdIg25jnHpfVpnHNoCakU4Q
377,b2U3DD0gjXA,UCqltwdVS2hLvSjC9eFmfrWg
378,eZhP62wZb08,UCMtFAi84ehTSYSE9XoHefig
379,bATd1FQBzD8,UCuy20QT7kmThd7ZkY0G7DZg
380,OsrlAVbaVCk,UCL4ss3I2WQaWp2sw1SjHi5Q
381,0kR7rIIHNNM,UConaGRzpWrIGU6ALkUASyYg
382,Z6bc9_0AHQg,UCJZE3JknxQq5Qrycx1uz2Sg
383,x2huO11LEY4,UCmxA5dpdT_BVdqFlggHjtTw
384,zhzpS04qzmU,UCryItMG5CX-iF_7OzRTn9SA
385,QnEU-U7D-4g,UCQuVITBfktYveqM3xFIGgyg
387,MKdC-U4ZkN0,UCTWooHSLR-d8BjemF5HzN9g
388,8BYG5ZvHjos,UCi8o8ntuLNTbUgc3VD6i-eQ
389,_E4cdaRu5y4,UCwWhs_6x42TyRM4Wstoq8HA
391,H-jp87Y3ZSY,UCynIYcsBwTrwBIecconPN2A
393,P6g9k5gaxpM,UCNcQkRqY3_Ozcnlo6STqlAQ
395,peM89TH3MWs,UCXgaaEw-FRb4HXGo8ka-pfw
397,oKXWzoawdFE,UC-J0pIKmHc6_chLUCch_wNA
398,grexbDmBpro,UCUzMcAXn1QXeehPWMU57ygg
399,lTV1Y8Mfgwk,UC90kVpd8-p3z19H4UE39zng
400,tYbXvR8Qm28,UCyfIoPNszuAKpeaLobnvYxQ
401,qAVeOtQx-4c,UC55Ugnz0PjMsfyZ1LCFDZTA
402,ZfOjvOcVKhc,UCSzYokfaH2v1521wqrh9fhA
405,jinurWYblbg,UCDOJkSTUNY3_NKawpkPvjHg
407,390U2WHZR_Q,UCynURu72A71GmEVQcsZXcKQ
408,7UrY5jKBwzc,UCFsh-rJiy2S_xuZZMg6ERZg
412,NqMZQEhkPn4,UC9tIbZlzum_-xPfLsNbOwjg
414,48bqj6TqVms,UCFDEkoNJ4e1VH6A6SUk9N4g
417,vGsQywoE1CA,UCZ7B1oCEDT_d4c9XTtChX7w
420,KTLNqkwWK7Q,UCoh_z6QB0AGB1oxWufvbDUg
422,bZ4bvrNE52M,UCe4JoFm4FTM_2_iQO9P5dIg
423,5ChFBgwXRBQ,UCtuyWcm-zDwJB4eHkZaDmGg
424,6fMq-4S2Bhc,UCqEfdEvLG5oQWNYlDQrGlKw
426,FobsaYaC73k,UCI8dCgv5cGNE1CQ3TmSWJOg
428,zdIOiV88lVs,UC7O8RxRMCRilg0ucaNxGE9A
429,y7119xDeVAM,UC1lgJkpCx_0SMzsvrTCdxPw
430,psu1430zRsA,UCD7-Ocp4InwPKzwiq_U-Abg
431,lD3iSD9kg94,UCqAbcgEp4NqCRnLG3NVJezw
432,A04PARdtEss,UCad4VUyyzWqenlkjfCTQ47A
433,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
436,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
437,VV7LMEbd1Es,UC14QT5j2nQI8lKBCGtrrBQA
440,sC32d0BmcJk,UCrR3bHE6ZJ30YUUTl-G2RVg
441,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
442,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
443,UaGK8MCVZyE,UCMo5MECD5pwhUVLaMqZo5Xg
445,ishsnPy0XOU,UCIfuY0NRq1szr_6tzFy23NQ
446,z0RPAaITyyg,UCSkLRGGIGKOtinamhcy_42g
448,Hv18-l6kESg,UCljYHFazflmGaDr5Lo90KmA
449,YkGeOCP0JgU,UCG4fqU419F_vnBkIfSyR9Yg
452,rskvlVMoYZE,UCqly9F4Fr_jf2Y1Cy5hacRg
455,wIdrjXroKC0,UC4QadOSsJu54Qs8z99shRiQ
457,6qT5wAc3fEY,UC499RUHBCxesTo_ppKPlfhg
459,_tjVER3BDW8,UCQBG3PzyQKY8ieMG2gDAyOQ
460,_j2MiTRDkuY,UCWbB8rGkcOc58YYS0QaCG3w
461,3p7W5r4t3As,UCR1zT1s524Hbc85bdvno_8w
462,rmON2pSUdqM,UCQ3Kgx1G1NkELoJ8tJ3uelg
465,eMONEl5YQxQ,UCyo6aLuDHbUoNTv-NR-Y0NA
469,04YcnWKdOb0,UC0e87WXu_SJhrc8tb08qyaQ
470,x2Sp2ARYcSY,UC_giNzXnIMihPb8ERG_4kSw
473,YIjcz8xlYjg,UCzw-C7fNfs018R1FzIKnlaA
474,dzxFdtWmjto,UCz97F7dMxBNOfGYu3rx8aCw
476,LyhoUNm3xwo,UCcvLSRIWJIAGFDyWtzkbiHA
478,_MfVpGaUhYQ,UCGbOTPDlBwkN-4N85dK6U7Q
479,WRTJ-1CNrt4,UCFtVzEblikHdro4J5HeMo4w
481,cnril81nZbQ,UCZm4hXoFy5ynSaGXVfP-NGQ
482,S-xBo-o6Ky0,UCrPG99iyp64FDF8MrB9uVPA
484,W8vgIXxJRtc,UCutJqz56653xV2wwSvut_hQ
485,G06gCDESJzk,UCgMPP6RRjktV7krOfyUewqw
490,DXkHvEVCF14,UCfVqLqmH2M9V-jlxGipZSGA
491,cvMURFcXFlE,UCQUdNis13Y2bXiV7fssSNCg
493,F1dFrQZV47M,UCroloVlHKUnvOMn5MtuvyDg
495,ZTH24m5FGpA,UCibEhpu5HP45-w7Bq1ZIulw
498,ioGBaVRmBbY,UCgOfjIl0I_oG7VxIoaKaRsw
499,vO1jrCodB7Y,UCRVruzlQF5cqpw9jQgIgNdw
500,K4nn6HcNmjw,UCx2eWrQGKO2IvTVjho3BeKw
501,W9g0-vPBkXc,UC3wEaRK3h93UehXbg9YRcmQ
502,1zO5G5b7wY4,UCxpIo6FFB7gMQz2Fy2X8XdQ
503,VucNf2yaB3U,UCUndCm0YDFKtKHNDvG2cE2Q
504,Dgw4I9xNWys,UCfodSug0zXKfd8HpSay9JBg
506,kp7qer4jm40,UCIRfNQcAO0Te-3abudINbJA
507,yQ8WUlG377g,UCpOjLndjOqMoffA-fr8cbKA
508,ThqM787fU2g,UCzXjPL7zo0bxhOYDxLJ9YEg
510,IWhoDwKDzfc,UCRgOqI54g1VqnQnwIB6WPSA
512,V08ZJhPApb4,UCSeDpnnXFVbLEbbvFvEEqKA
513,DIG81rLWP-M,UClX3YSREJp3ELuv2wFAYOzA
515,ZRHwCmz_aNE,UCyo6aLuDHbUoNTv-NR-Y0NA
516,hNg2uOe28ak,UCXteDRy5qB0IjA8WPusCJ7w
517,DaAp7p3ZkIs,UC1pHFqCMAIHP8gr4lYGtNLA
518,LACtFriivb4,UCLO1yCo0gDgpXhyM0fXfXXA
521,bAjxXtN81n8,UCJk8dZsM8SIGzIBJ-rDcB3Q
522,ysZzMUvlyJw,UC2hA-6M66dE2Tt_4xM8K9wQ
523,SG4pAQDt3qk,UCY5fcqgSrQItPAX_Z5Frmwg
524,ICaWQtg9i24,UCGbOTPDlBwkN-4N85dK6U7Q
526,bRP-wmdG-fA,UCaT2L0VybZmhQNbrr4gwnTQ
527,J-aR8HdTpS4,UCqAbcgEp4NqCRnLG3NVJezw
528,HzX5JEUlraI,UCG4fqU419F_vnBkIfSyR9Yg
530,k1Ci-5lr-DA,UCl2aT0nRejTCQO_LHZAftBw
532,QsOjU85Xxig,UCMKvT0YVLufHMdGLH89J1oA
533,IIsAzdriw30,UC8_wmm5DX9mb4jrLiw8ZYzw
534,_IIH0HjUCyY,UCriA6OetuAB_S9UCnvR-HdQ
535,axabjFfDIJI,UCr-QcqNToYablI-jU2VPVSw
537,lohJWRrtmaY,UC7RMi15o0aQacJhxOc6LLmw
540,bAOdo98z-ho,UCfCY70zRsvnnKzQ39mBq0rw
541,1idnH1Qw0yM,UCrsnfPtox8SQrVl0WySNjgQ
543,xteL6fuFv70,UCSRnJlqWYxj0p7SLBVttwnw
544,orTkp49yo94,UCm7S9NqpjZcB3OQ1-2zAghA
547,2ZFrPP2bRV0,UCErkC29SJY8RGSpIJa9qJoA
548,mNYkYuqXXpI,UCVk4F43Qz482FVlBV92shjQ
549,Xo4cqiXxgtU,UCko_-udsBjrsKr2FGwE_lgg
552,acx9kWFklds,UCSoEDFXaMcHbAlWlduce2eg
554,YjLlMZy2Ms4,UC5e0xdyGS7OEgyLroMxwrbw
555,AGXkystpisU,UCvlctY0BTwLULhSSpZ6_wmw
556,G-lbFCPqSQg,UCRDDfbYPHX_GUJ4lcQYTc8A
558,bryFPAhUrrQ,UCWvm8F_jPF3qYE5-2oMKqig
559,oYaT2Bh-OoU,UCYs35nWy7aTUBA4w8LcSCjQ
560,PyaMXCCoKlM,UCQUA8cPZgNoYEW2OgX482ng
561,ZNboStBis8M,UCljUAjufNh7VI0yElcAdlhg
566,pJeJnHnVl20,UCWaD_J0qRubgPr9DV_x9-Jw
567,7kLO2AB5SPM,UCtinbF-Q-fVthA0qrFQTgXQ
568,UmSF7Vc-Cc0,UCVP_Fma2_-BEKWYc79JVQDw
572,xfCs2AOWKno,UCVSDXs3jKdbrKLz9DHTi-KQ
573,kTCgEAmrmh4,UCXTsCXNGHmePgo3a47hnsAA
574,o0NzQmmlONQ,UChFqyZDekCMt_z7sVO3JjBQ
575,we_Ejibowuw,UC1Lp8HbCqOPBMT1W_mjb21A
576,Vz1OUnzXiXo,UCEfQOXTW4MaizNN7UVQIUaA
577,VXnrxY-l804,UCWSPqhLRvqjC-vLYA5_n4LQ
578,g3u2BWff9UM,UCpRh2xmGtaVhFVuyCB271pw
